name,url,sku,group_id,price,in_stock,categories,image_url,keywords
"Chateau Cheeks Powder Blush in Tease",https://www.purcosmetics.com/chateau-cheeks-powder,951334140,10006,18,true,"Pur Category|Face|Shop All|Sale ",https://www.purcosmetics.com/media/catalog/product/c/h/chateau-cheeks-powder-blush-tease-closed.jpg,
"Chateau Cheeks Powder Blush in Sassy",https://www.purcosmetics.com/chateau-cheeks-powder,951334130,10006,18,true,"Pur Category|Face|Shop All|Sale ",https://www.purcosmetics.com/media/catalog/product/c/h/chateau-cheeks-powder-blush-sassy-closed.jpg,
"Chateau Cheeks Powder Blush in Kinky",https://www.purcosmetics.com/chateau-cheeks-powder,951334120,10006,18,false,"Pur Category|Face|Shop All|Sale ",https://www.purcosmetics.com/media/catalog/product/c/h/chateau-cheeks-powder-blush-kinky-closed.jpg,
"Chateau Cheeks Powder Blush in Savvy",https://www.purcosmetics.com/chateau-cheeks-powder,951334110,10006,18,true,"Pur Category|Face|Shop All|Sale ",https://www.purcosmetics.com/media/catalog/product/c/h/chateau-cheeks-powder-blush-savvy-closed.jpg,
"Chateau de Vine Cream Lipstick in Fashionista",https://www.purcosmetics.com/chateau-de-vine,951550360,10644,18,true,"Pur Category|Shop All|Sale ",https://www.purcosmetics.com/media/catalog/product/c/h/chateau-de-vine-lipstick-fashionista-cap-off-to-side.jpg,
"Chateau de Vine Cream Lipstick in Socialite",https://www.purcosmetics.com/chateau-de-vine,951550350,10644,18,true,"Pur Category|Shop All|Sale ",https://www.purcosmetics.com/media/catalog/product/c/h/chateau-de-vine-lipstick-socialite-cap-off-to-side.jpg,
"Chateau de Vine Cream Lipstick in Starlet",https://www.purcosmetics.com/chateau-de-vine,951550340,10644,18,true,"Pur Category|Shop All|Sale ",https://www.purcosmetics.com/media/catalog/product/c/h/chateau-de-vine-lipstick-starlet-cap-off-to-side.jpg,
"Chateau de Vine Cream Lipstick in Georgia Peach",https://www.purcosmetics.com/chateau-de-vine,951550330,10644,18,true,"Pur Category|Shop All|Sale ",https://www.purcosmetics.com/media/catalog/product/c/h/chateau-de-vine-lipstick-georgia-peach-cap-off-to-side.jpg,
"Chateau de Vine Cream Lipstick in Smooth Talker",https://www.purcosmetics.com/chateau-de-vine,951550320,10644,18,true,"Pur Category|Shop All|Sale ",https://www.purcosmetics.com/media/catalog/product/c/h/chateau-de-vine-lipstick-smooth-talker-cap-off-to-side.jpg,
"Chateau de Vine Cream Lipstick in Jezebel",https://www.purcosmetics.com/chateau-de-vine-in-jezebel,951550310,951550310,18.0000,true,"Pur Category|Shop All|Sale ",https://www.purcosmetics.com/media/catalog/product/c/h/chateau-de-vine-lipstick-jezebel-cap-off-to-side.jpg,
